,open,high,low,close,volume,turnover,bias_q20,liquidity_premium_z_300,position,close_diff,change_rate,executable_position,position_change,gross_strategy_returns,percentage_fees,strategy_returns,cum_returns,gross_point_pnl,point_fees,point_pnl,cum_point_pnl
2020-01-02 09:00:00,295.19330596,295.357378201,294.938082475,295.138615214,3593668.0,1163550536.291,,,0.0,,,0.0,0.0,,0.0,,,,,,
2020-01-02 10:00:00,295.147730338,295.238881583,294.063030526,294.696531677,7127620.0,2301878405.709,,,0.0,-0.44208353700003045,-0.0014978844319625262,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-02 11:00:00,294.701089239,294.746664861,293.99010953,294.395732569,5313074.0,1715944027.673,,,0.0,-0.30079910799997833,-0.0010207080018493908,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-02 12:00:00,294.400290132,294.837816106,294.345599385,294.719319488,3627645.0,1172518792.619,,,0.0,0.32358691899997893,0.0010991562825188872,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-02 13:00:00,294.728434612,294.755779986,294.382059883,294.525896547,3730195.0,1204472215.891,,,0.0,-0.19342294099999435,-0.0006562954248673369,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-02 14:00:00,294.527901874,295.211536209,294.527901874,295.102154716,6734754.0,2178494304.308,,,0.0,0.5762581689999706,0.001956561972159321,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-02 15:00:00,295.102154716,296.141278905,295.074809342,296.123048656,15957910.0,5172788868.53,,,0.0,1.0208939400000077,0.0034594594572936455,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-03 09:00:00,292.741337478,294.372944758,292.686646731,294.281793513,9525737.0,3072789031.82,,,0.0,-1.8412551429999553,-0.006217871764311433,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-03 10:00:00,294.290908638,294.509671625,293.534353307,293.926303659,10717531.0,3459519507.291,,,0.0,-0.35548985400004085,-0.001207991326124369,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-03 11:00:00,293.926303659,294.628168243,293.616389427,294.500556501,4914426.0,1586049767.498,,,0.0,0.5742528420000212,0.001953730696611089,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-03 12:00:00,294.502835282,295.001888347,294.500556501,294.774010235,4948554.0,1601434672.717,,,0.0,0.27345373399998607,0.0009285338447198033,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-03 13:00:00,294.774010235,294.919852226,293.798691917,294.309138887,7702447.0,2488897229.642,,,0.0,-0.4648713479999742,-0.0015770431987180977,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-03 14:00:00,294.309959248,294.701089239,294.026570028,294.655513617,4452334.0,1438106293.698,,,0.0,0.34637472999997954,0.0011769078300112312,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-03 15:00:00,294.655513617,294.919852226,293.880728037,293.880728037,18545208.0,5987511964.532,,,0.0,-0.7747855800000139,-0.0026294623524577565,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-06 09:00:00,292.130624139,293.279129822,292.01212752,293.224439075,6149671.0,1975211098.342,,,0.0,-0.6562889619999623,-0.00223318135348205,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
