Symbol,n1,n2,dir_thresh_symmetric,conf_thresh,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,40,20,0.85,-1.5,127.11,275.28,31.53,42.47,1.2509,1.624,-19.55,58
SPY,200,40,0.9,-1.5,76.39,195.41,20.88,25.52,1.1095,1.4009,-25.27,22
SPY,60,60,0.9,-1.5,96.6,285.87,25.34,32.27,1.0522,1.3123,-38.75,32
SPY,180,120,0.9,-1.5,81.66,189.38,22.07,27.28,1.0438,1.3463,-16.36,9
SPY,40,20,0.8,-1.5,93.77,226.52,24.73,31.33,1.0302,1.321,-20.86,66
SPY,280,240,0.85,-1.5,55.48,160.52,15.89,18.53,0.9349,1.1293,-18.15,9
SPY,200,40,0.85,-1.5,59.77,162.26,16.95,19.97,0.9304,1.187,-25.33,24
SPY,300,40,0.9,-1.5,57.18,173.22,16.31,19.1,0.9105,1.0778,-16.05,20
SPY,20,20,0.9,-1.5,75.89,227.86,20.76,25.35,0.8957,1.1789,-28.02,56
SPY,240,260,0.85,-1.5,51.06,159.45,14.78,17.06,0.8819,1.0365,-21.68,11
SPY,280,60,0.9,-1.5,49.7,148.77,14.43,16.6,0.849,1.0058,-22.37,11
SPY,300,40,0.85,-1.5,51.9,158.06,14.99,17.34,0.8481,1.0119,-18.09,22
SPY,260,40,0.9,-1.5,52.55,163.88,15.15,17.56,0.847,1.0457,-19.81,18
SPY,220,40,0.9,-1.5,51.88,157.23,14.98,17.33,0.8391,1.0609,-22.61,18
SPY,300,60,0.85,-1.5,50.38,160.34,14.6,16.83,0.8367,1.0065,-21.73,14
SPY,180,260,0.9,-1.5,46.95,151.12,13.72,15.69,0.8282,0.9815,-24.12,15
SPY,280,40,0.9,-1.5,50.83,154.33,14.72,16.98,0.8272,0.9902,-22.7,18
SPY,240,260,0.9,-1.5,46.54,144.05,13.62,15.55,0.8227,0.9755,-21.68,9
SPY,100,80,0.9,-1.5,63.62,166.78,17.88,21.26,0.8217,0.9804,-24.42,20
SPY,240,40,0.9,-1.5,50.35,158.1,14.6,16.82,0.8208,1.0126,-21.45,18
SPY,100,80,0.85,-1.5,63.99,173.62,17.97,21.38,0.8165,0.9424,-25.52,24
SPY,280,60,0.85,-1.5,47.21,143.0,13.79,15.77,0.8165,0.97,-23.78,13
SPY,280,80,0.9,-1.5,47.01,139.94,13.74,15.7,0.8144,0.9613,-26.56,9
SPY,260,240,0.85,-1.5,45.75,141.69,13.41,15.28,0.8113,0.9522,-22.0,10
SPY,260,220,0.8,-1.5,45.77,148.35,13.42,15.29,0.8099,0.9953,-16.36,12
SPY,260,60,0.85,-1.5,46.05,139.57,13.49,15.39,0.8013,0.9535,-23.61,13
SPY,280,80,0.85,-1.5,45.99,138.27,13.47,15.36,0.801,0.9489,-27.46,11
SPY,100,80,0.8,-1.5,62.29,171.62,17.56,20.81,0.7975,0.9099,-29.19,28
SPY,220,60,0.8,-1.5,47.47,132.53,13.86,15.86,0.7974,0.9447,-25.68,13
SPY,200,120,0.9,-1.5,45.28,140.83,13.29,15.13,0.7952,0.9811,-17.33,9
SPY,180,120,0.8,-1.5,55.22,141.75,15.82,18.45,0.7945,0.9977,-17.87,17
SPY,260,260,0.9,-1.5,44.27,139.35,13.03,14.79,0.7924,0.9368,-22.0,9
SPY,260,260,0.85,-1.5,44.32,139.25,13.04,14.81,0.7922,0.9295,-22.0,10
SPY,280,260,0.85,-1.5,44.23,138.18,13.02,14.78,0.7899,0.927,-20.96,10
SPY,180,60,0.8,-1.5,53.48,137.35,15.39,17.87,0.7766,0.9768,-25.76,19
SPY,260,220,0.85,-1.5,42.86,134.78,12.66,14.32,0.7722,0.9629,-16.36,9
SPY,200,60,0.85,-1.5,45.39,138.12,13.32,15.17,0.7698,0.9485,-25.15,15
SPY,280,240,0.8,-1.5,42.72,132.67,12.62,14.27,0.769,0.9056,-21.7,10
SPY,280,220,0.85,-1.5,42.4,133.27,12.53,14.17,0.7645,0.9523,-16.36,9
SPY,180,40,0.9,-1.5,51.74,114.11,14.95,17.29,0.7584,0.9746,-32.74,19
SPY,220,40,0.85,-1.5,44.5,143.83,13.09,14.87,0.7493,0.9215,-22.61,22
SPY,200,60,0.9,-1.5,43.36,121.44,12.79,14.49,0.7446,0.8793,-23.94,11
SPY,200,60,0.8,-1.5,43.22,133.42,12.75,14.44,0.7422,0.9072,-25.12,17
SPY,280,260,0.8,-1.5,40.74,129.02,12.1,13.61,0.7421,0.8727,-21.7,10
SPY,240,260,0.8,-1.5,40.15,131.47,11.94,13.41,0.7359,0.8688,-21.68,11
