n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
280,0.9,-3.0,lesser,10.58,31.95,3.42,3.53,0.9338,0.2389,-2.71,2
80,0.7,-2.0,lesser,52.94,142.44,15.25,17.69,0.8853,0.6724,-16.83,69
140,0.8,-3.0,lesser,10.27,39.82,3.32,3.43,0.8537,0.2701,-3.68,6
140,0.9,-2.5,lesser,36.62,96.95,10.99,12.23,0.8459,0.4421,-14.97,15
60,0.9,-1.5,lesser,47.62,147.66,13.9,15.91,0.8127,0.5668,-16.76,78
140,0.85,-2.5,lesser,34.84,92.63,10.5,11.64,0.807,0.4341,-14.97,16
60,0.85,-2.0,lesser,44.22,137.68,13.01,14.77,0.8029,0.5602,-16.54,60
140,0.7,-3.0,lesser,9.43,36.73,3.06,3.15,0.7831,0.2473,-4.13,6
140,0.85,-3.0,lesser,4.0,13.92,1.32,1.34,0.7554,0.1141,-3.24,2
140,0.9,-3.0,lesser,4.0,13.92,1.32,1.34,0.7554,0.1141,-3.24,2
40,0.85,-2.0,lesser,36.27,95.22,10.89,12.12,0.7074,0.4818,-16.32,99
40,0.8,-2.0,lesser,36.48,93.99,10.95,12.19,0.7051,0.4915,-15.54,105
60,0.8,-2.0,lesser,36.5,115.6,10.96,12.2,0.6934,0.4865,-16.54,64
60,0.7,-3.0,lesser,31.44,87.67,9.56,10.5,0.6684,0.3413,-16.54,28
20,0.9,-3.0,lesser,0.99,3.71,0.33,0.33,0.65,0.0677,-0.45,4
20,0.9,-2.5,lesser,11.28,41.8,3.63,3.77,0.6469,0.2441,-8.2,44
140,0.8,-2.5,lesser,27.02,74.46,8.32,9.03,0.6442,0.3867,-14.97,20
40,0.9,-2.0,lesser,30.42,77.24,9.28,10.16,0.6361,0.3879,-17.59,77
300,0.9,-3.0,lesser,7.27,22.43,2.37,2.43,0.6277,0.2008,-3.45,4
60,0.9,-2.0,lesser,31.16,104.87,9.48,10.41,0.618,0.4203,-20.36,57
140,0.7,-2.5,lesser,25.41,69.69,7.86,8.49,0.6127,0.3691,-14.97,20
60,0.7,-2.0,lesser,31.32,96.59,9.53,10.46,0.6022,0.4532,-16.54,76
280,0.85,-1.5,lesser,22.85,79.47,7.12,7.63,0.5699,0.4646,-14.98,19
80,0.7,-2.5,lesser,26.23,76.32,8.09,8.76,0.5424,0.3628,-16.83,40
260,0.85,-1.5,lesser,22.17,79.26,6.92,7.41,0.5406,0.4455,-16.24,21
180,0.9,-1.0,lesser,25.58,99.82,7.91,8.55,0.5384,0.4335,-19.84,38
60,0.7,-2.5,lesser,24.66,72.68,7.64,8.24,0.5202,0.3351,-23.84,50
240,0.9,-1.0,lesser,20.35,77.88,6.38,6.8,0.5141,0.4062,-14.98,24
240,0.7,-3.0,lesser,17.27,55.73,5.47,5.77,0.5034,0.3544,-20.96,8
60,0.9,-1.0,lesser,25.25,76.35,7.81,8.44,0.493,0.3703,-17.04,103
80,0.7,-3.0,lesser,9.69,37.24,3.14,3.24,0.4771,0.1806,-8.12,9
260,0.85,-3.0,lesser,16.34,50.46,5.19,5.46,0.4596,0.339,-21.31,8
260,0.9,-1.5,lesser,16.57,63.88,5.25,5.53,0.4364,0.3555,-16.24,19
100,0.7,-2.0,lesser,21.12,75.01,6.61,7.06,0.4329,0.2846,-25.52,40
