n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
20,100,1.0,greater,5.51,25.92,1.81,1.84,0.2312,0.0984,-15.87,370
40,200,1.5,greater,1.7,7.22,0.56,0.57,0.1743,0.0287,-8.65,24
40,200,2.0,greater,1.63,7.77,0.54,0.55,0.1719,0.0258,-7.86,18
20,100,1.5,greater,2.37,12.62,0.79,0.79,0.1331,0.0552,-13.33,298
180,200,1.5,greater,0.64,3.74,0.21,0.22,0.085,0.0082,-3.97,2
180,200,2.0,greater,0.64,3.74,0.21,0.22,0.085,0.0082,-3.97,2
200,200,1.5,greater,0.64,3.74,0.21,0.22,0.085,0.0082,-3.97,2
200,200,2.0,greater,0.64,3.74,0.21,0.22,0.085,0.0082,-3.97,2
120,200,1.0,greater,0.69,3.39,0.23,0.23,0.0677,0.0125,-8.03,8
120,200,1.5,greater,0.24,1.59,0.08,0.08,0.04,0.0073,-8.43,8
200,200,1.0,greater,0.15,1.67,0.05,0.05,0.0307,0.0031,-3.97,4
180,200,1.0,greater,0.15,1.67,0.05,0.05,0.0307,0.0031,-3.97,4
160,150,2.0,greater,-0.06,-1.74,-0.02,-0.02,0.0297,0.0056,-7.8,22
120,200,2.0,greater,-0.05,0.75,-0.02,-0.02,0.0217,0.004,-8.43,8
20,100,2.0,greater,-0.34,4.59,-0.11,-0.11,0.0175,0.0066,-12.68,232
160,100,2.0,greater,-1.29,-10.61,-0.43,-0.43,0.0015,0.0005,-17.5,110
100,200,2.0,greater,-0.71,-3.53,-0.24,-0.24,-0.0228,-0.004,-8.88,8
160,150,1.5,greater,-1.5,-8.4,-0.5,-0.5,-0.0376,-0.0075,-8.87,32
60,200,2.0,greater,-1.44,-11.9,-0.48,-0.48,-0.0814,-0.0174,-14.8,20
100,150,2.0,greater,-2.01,-8.4,-0.67,-0.67,-0.089,-0.0229,-12.38,42
160,150,1.0,greater,-2.75,-13.36,-0.93,-0.92,-0.0945,-0.0196,-10.02,40
60,200,1.5,greater,-1.8,-12.28,-0.61,-0.6,-0.1038,-0.0243,-15.34,24
140,100,2.0,greater,-4.84,-28.2,-1.64,-1.62,-0.1126,-0.0445,-19.83,128
100,150,1.5,greater,-3.05,-12.28,-1.03,-1.02,-0.1434,-0.0384,-14.24,52
220,200,2.0,greater,-1.73,-4.15,-0.58,-0.58,-0.1482,-0.0183,-5.52,6
220,200,1.5,greater,-1.73,-4.15,-0.58,-0.58,-0.1482,-0.0183,-5.52,6
240,200,2.0,greater,-1.73,-4.15,-0.58,-0.58,-0.1482,-0.0183,-5.52,6
240,200,1.5,greater,-1.73,-4.15,-0.58,-0.58,-0.1482,-0.0183,-5.52,6
80,150,1.0,greater,-3.07,-13.05,-1.04,-1.03,-0.1497,-0.0407,-14.71,58
80,150,1.5,greater,-3.3,-14.12,-1.11,-1.1,-0.168,-0.0422,-14.81,38
160,200,1.0,greater,-3.39,-9.79,-1.15,-1.13,-0.1763,-0.0224,-5.17,8
160,200,1.5,greater,-3.39,-9.79,-1.15,-1.13,-0.1763,-0.0224,-5.17,8
260,200,2.0,greater,-2.1,-5.69,-0.71,-0.7,-0.1835,-0.0231,-5.52,6
260,200,1.5,greater,-2.1,-5.69,-0.71,-0.7,-0.1835,-0.0231,-5.52,6
220,200,1.0,greater,-2.21,-6.21,-0.74,-0.74,-0.1935,-0.0245,-5.52,8
240,200,1.0,greater,-2.27,-6.45,-0.76,-0.76,-0.1992,-0.0253,-5.52,6
60,200,1.0,greater,-3.2,-17.16,-1.08,-1.07,-0.1994,-0.0465,-16.55,26
120,100,2.0,greater,-7.11,-35.05,-2.43,-2.38,-0.2144,-0.0806,-22.21,130
20,200,2.0,greater,-1.42,-5.1,-0.48,-0.48,-0.2278,-0.0325,-2.69,24
80,150,2.0,greater,-4.21,-17.3,-1.43,-1.41,-0.2338,-0.0552,-14.85,34
260,200,1.0,greater,-2.64,-7.99,-0.89,-0.88,-0.2342,-0.0303,-5.52,6
100,150,1.0,greater,-4.87,-18.81,-1.65,-1.63,-0.2451,-0.0679,-15.43,66
