n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
150,1.0,2.0,greater,63.44,161.1,17.84,21.19,1.3375,0.8858,-7.37,406
140,1.0,2.0,greater,57.86,140.77,16.48,19.33,1.2134,0.8147,-7.9,418
140,1.0,3.0,greater,37.37,113.26,11.19,12.49,1.1959,0.5236,-7.76,168
150,1.0,2.5,greater,45.32,126.03,13.3,15.14,1.1782,0.6763,-6.9,246
150,1.0,3.0,greater,33.71,109.82,10.19,11.26,1.1569,0.481,-9.09,162
160,1.0,2.5,greater,47.62,129.35,13.9,15.91,1.1443,0.6135,-6.9,248
140,1.0,2.5,greater,37.73,111.95,11.29,12.6,1.1107,0.5688,-6.56,252
160,1.0,2.0,greater,44.87,122.82,13.18,14.99,1.025,0.6281,-6.87,404
160,1.0,3.0,greater,28.91,98.33,8.86,9.66,1.0197,0.401,-8.56,162
150,1.0,1.5,greater,50.97,122.42,14.75,17.03,1.0044,0.7496,-9.98,662
170,1.0,2.0,greater,34.33,95.57,10.36,11.47,0.8952,0.548,-7.21,388
140,1.0,1.5,greater,41.9,102.47,12.4,14.0,0.8439,0.6202,-11.81,672
170,1.0,3.0,greater,19.45,65.04,6.12,6.5,0.7997,0.3242,-7.4,158
160,1.0,1.5,greater,35.12,90.12,10.58,11.73,0.7718,0.5433,-10.83,650
130,1.0,3.0,greater,19.74,64.78,6.2,6.6,0.7244,0.2874,-7.93,160
190,1.0,3.0,greater,17.17,58.01,5.44,5.74,0.7243,0.2698,-7.4,144
130,1.0,2.0,greater,30.89,69.93,9.41,10.32,0.7224,0.4564,-16.57,414
170,1.0,2.5,greater,20.6,59.92,6.46,6.88,0.6385,0.3412,-8.68,236
180,1.0,2.0,greater,18.81,60.23,5.93,6.29,0.6099,0.3384,-7.93,378
130,1.0,2.5,greater,19.36,60.17,6.09,6.47,0.6048,0.2893,-10.74,244
170,1.0,1.5,greater,22.53,53.29,7.02,7.53,0.5725,0.3982,-14.89,640
130,1.0,1.5,greater,24.81,59.75,7.69,8.29,0.5559,0.3894,-15.53,638
180,1.0,2.5,greater,14.7,46.53,4.69,4.91,0.5504,0.2614,-9.89,232
180,1.0,3.0,greater,11.75,39.11,3.78,3.92,0.5133,0.1962,-9.98,152
200,1.0,2.5,greater,12.49,40.89,4.01,4.17,0.4796,0.2277,-8.84,240
190,1.0,2.5,greater,11.9,38.31,3.83,3.98,0.4631,0.2159,-11.39,232
200,1.0,3.0,greater,10.15,37.17,3.28,3.39,0.4627,0.1709,-11.33,150
120,1.0,2.5,greater,12.17,46.34,3.91,4.07,0.4079,0.1959,-13.78,246
120,1.0,2.0,greater,15.1,32.47,4.81,5.04,0.4046,0.2538,-13.94,402
140,1.0,1.0,greater,17.91,41.55,5.66,5.98,0.4044,0.3311,-19.25,1002
130,1.0,1.0,greater,16.5,41.85,5.23,5.51,0.377,0.3048,-17.9,1006
110,1.0,2.5,greater,9.93,39.82,3.21,3.32,0.3432,0.1642,-13.8,252
110,1.0,3.0,greater,7.87,32.78,2.56,2.63,0.3211,0.1275,-11.29,164
110,1.0,2.0,greater,10.42,19.45,3.37,3.48,0.3043,0.1903,-16.84,422
150,1.0,1.0,greater,9.92,18.22,3.21,3.31,0.2669,0.2115,-19.36,992
30,1.0,3.0,greater,4.05,18.39,1.34,1.35,0.2646,0.0755,-5.53,150
120,1.0,3.0,greater,5.17,23.56,1.7,1.73,0.2292,0.0896,-11.0,152
120,1.0,1.5,greater,7.1,9.1,2.32,2.37,0.2212,0.1549,-17.35,640
180,1.0,1.5,greater,5.2,6.92,1.71,1.74,0.1966,0.1244,-20.22,618
190,1.0,2.0,greater,4.54,14.33,1.49,1.52,0.1941,0.1033,-15.09,378
190,1.0,1.5,greater,2.47,-1.42,0.82,0.82,0.1238,0.0771,-24.87,608
40,1.0,3.0,greater,1.79,6.18,0.6,0.6,0.1223,0.0393,-8.54,168
200,1.0,1.5,greater,0.42,-0.89,0.14,0.14,0.0662,0.0412,-19.61,610
120,1.0,1.0,greater,-2.14,-19.92,-0.72,-0.71,0.0366,0.0294,-24.13,996
160,1.0,1.0,greater,-2.66,-13.59,-0.9,-0.89,0.02,0.0148,-20.79,984
200,1.0,2.0,greater,-2.59,-8.62,-0.87,-0.87,-0.0395,-0.0205,-15.3,376
110,1.0,1.0,greater,-5.99,-33.11,-2.04,-2.0,-0.0424,-0.0341,-25.17,1018
40,1.0,2.0,greater,-4.33,-27.39,-1.47,-1.45,-0.0572,-0.0363,-22.03,522
110,1.0,1.5,greater,-6.29,-33.26,-2.15,-2.1,-0.0777,-0.0536,-21.02,666
170,1.0,1.0,greater,-10.75,-47.93,-3.73,-3.59,-0.1755,-0.1267,-26.91,962
30,1.0,2.5,greater,-7.11,-15.87,-2.43,-2.38,-0.2947,-0.1064,-15.4,282
