Symbol,n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,80,0.85,-2.0,lesser,125.08,279.52,31.13,41.79,1.2419,1.521,-23.19,15
SPY,80,0.9,-2.0,lesser,121.49,278.4,30.43,40.59,1.2196,1.484,-23.19,13
SPY,80,0.8,-2.0,lesser,120.96,272.55,30.33,40.41,1.2161,1.4902,-23.19,15
SPY,60,0.9,-1.5,lesser,96.6,285.87,25.34,32.27,1.0522,1.3123,-38.75,32
SPY,20,0.9,-1.5,lesser,75.89,227.86,20.76,25.35,0.8957,1.1789,-28.02,56
SPY,100,0.9,-2.0,lesser,65.08,162.07,18.23,21.74,0.81,0.9861,-23.8,7
SPY,260,0.9,-1.5,lesser,44.27,139.35,13.03,14.79,0.7924,0.9368,-22.0,9
SPY,260,0.85,-1.5,lesser,44.32,139.25,13.04,14.81,0.7922,0.9295,-22.0,10
SPY,260,0.85,-2.0,lesser,43.14,134.78,12.73,14.41,0.7762,0.9663,-20.35,8
SPY,20,0.8,-2.0,lesser,57.26,187.32,16.33,19.13,0.7404,0.8955,-22.94,48
SPY,180,0.9,-2.0,lesser,49.07,111.79,14.27,16.39,0.7316,0.9274,-25.57,7
SPY,20,0.9,-2.0,lesser,55.15,208.98,15.8,18.42,0.7216,0.8738,-26.73,26
SPY,180,0.85,-2.0,lesser,45.86,102.62,13.44,15.32,0.6971,0.8846,-27.32,7
SPY,60,0.8,-2.0,lesser,51.82,187.47,14.97,17.31,0.6918,0.8836,-28.79,22
SPY,20,0.85,-2.0,lesser,49.59,173.63,14.4,16.57,0.671,0.8009,-22.94,46
SPY,260,0.8,-2.0,lesser,35.3,114.4,10.63,11.79,0.6659,0.8256,-20.83,8
SPY,260,0.8,-1.5,lesser,34.11,111.4,10.3,11.4,0.6488,0.7611,-21.96,10
SPY,100,0.85,-2.0,lesser,46.6,113.86,13.63,15.57,0.6445,0.7783,-30.4,9
SPY,180,0.8,-2.0,lesser,40.92,89.28,12.14,13.67,0.6424,0.8172,-29.53,7
SPY,60,0.85,-2.0,lesser,45.39,169.36,13.32,15.16,0.6316,0.8087,-28.73,18
SPY,60,0.9,-2.0,lesser,44.15,165.53,13.0,14.75,0.6198,0.7909,-31.56,18
SPY,60,0.9,-1.0,lesser,37.81,137.84,11.31,12.63,0.5577,0.6945,-34.99,46
SPY,220,0.9,-1.0,lesser,29.8,131.47,9.11,9.96,0.5431,0.6961,-29.34,13
SPY,100,0.8,-2.0,lesser,36.19,95.87,10.87,12.09,0.542,0.6346,-30.29,13
SPY,40,0.9,-1.5,lesser,24.59,94.14,7.62,8.21,0.4166,0.5503,-37.2,48
SPY,220,0.85,-1.0,lesser,20.38,105.11,6.39,6.81,0.4119,0.5249,-29.32,15
SPY,140,0.9,-2.0,lesser,21.96,57.79,6.86,7.34,0.4009,0.483,-23.96,7
SPY,240,0.85,-1.5,lesser,19.24,92.84,6.06,6.43,0.3985,0.4937,-25.45,9
SPY,40,0.85,-1.5,lesser,22.82,80.92,7.11,7.63,0.3968,0.5235,-32.75,58
