Symbol,n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,60,0.9,-1.5,lesser,156.51,367.19,36.99,52.29,1.4137,1.7654,-30.23,30
SPY,60,0.8,-2.0,lesser,94.01,259.84,24.78,31.41,1.0268,1.34,-26.75,24
SPY,60,0.85,-2.0,lesser,86.81,243.75,23.22,29.0,0.9745,1.2761,-26.68,20
SPY,60,0.9,-2.0,lesser,85.77,240.58,22.99,28.66,0.9671,1.262,-29.59,20
SPY,80,0.8,-2.0,lesser,83.37,205.41,22.45,27.85,0.9506,1.1838,-23.11,17
SPY,80,0.85,-2.0,lesser,78.45,196.21,21.35,26.21,0.913,1.135,-23.11,15
SPY,180,0.9,-2.0,lesser,64.42,150.33,18.07,21.52,0.8811,1.1082,-23.02,5
SPY,20,0.8,-2.0,lesser,59.95,207.44,16.99,20.03,0.7602,0.9122,-26.65,43
SPY,80,0.9,-2.0,lesser,56.66,148.77,16.18,18.93,0.733,0.9009,-23.11,13
SPY,100,0.9,-2.0,lesser,56.31,138.87,16.09,18.81,0.73,0.8859,-27.68,7
SPY,20,0.9,-2.0,lesser,48.94,186.44,14.24,16.35,0.6616,0.7935,-26.65,28
SPY,260,0.8,-2.0,lesser,34.96,114.56,10.54,11.68,0.6573,0.812,-20.47,8
SPY,60,0.9,-1.0,lesser,42.45,154.21,12.55,14.18,0.6011,0.7437,-35.32,48
SPY,220,0.9,-1.0,lesser,31.65,135.83,9.62,10.57,0.5644,0.7208,-29.36,13
SPY,180,0.8,-2.0,lesser,32.82,82.51,9.95,10.96,0.5451,0.6836,-23.02,7
SPY,180,0.85,-2.0,lesser,32.82,82.51,9.95,10.96,0.5451,0.6836,-23.02,7
SPY,100,0.85,-2.0,lesser,34.72,89.67,10.47,11.6,0.5246,0.6149,-30.87,9
SPY,220,0.85,-1.0,lesser,27.94,127.23,8.58,9.33,0.5151,0.6552,-29.36,15
SPY,20,0.9,-1.5,lesser,32.18,136.12,9.77,10.75,0.4967,0.6392,-34.59,64
SPY,60,0.85,-1.5,lesser,31.62,145.24,9.61,10.56,0.4918,0.6007,-36.73,38
SPY,260,0.85,-1.5,lesser,25.49,105.69,7.88,8.52,0.4906,0.6051,-21.89,11
SPY,100,0.8,-2.0,lesser,30.3,79.68,9.25,10.12,0.4785,0.5604,-34.08,11
SPY,20,0.85,-2.0,lesser,29.27,146.65,8.96,9.78,0.4668,0.5397,-26.65,39
SPY,260,0.9,-1.5,lesser,22.25,98.52,6.94,7.43,0.4441,0.5536,-25.16,9
SPY,240,0.85,-1.5,lesser,21.86,109.22,6.83,7.3,0.4347,0.5549,-25.47,9
SPY,240,0.8,-1.5,lesser,19.56,95.26,6.15,6.53,0.4013,0.5176,-25.47,11
